"GEOID","totalE","ownerE","renterE"
"42045404300",856,444,412
"42045404400",722,428,294
"42045404500",1991,558,1433
"42045404600",839,397,442
"42045404700",947,187,760
"42045404800",660,225,435
"42045404900",403,164,239
"42045405000",741,280,461
"42045405100",874,453,421
"42045405200",1275,404,871
"42045405300",1190,725,465
"42045405400",1167,447,720
"42045406100",765,560,205
"42045406201",1298,1210,88
"42045406202",2333,1937,396
"42045406300",1245,539,706
"42045406401",1029,707,322
"42045406402",652,161,491
"42045406500",724,558,166
"42045406600",862,285,577
"42045406700",1291,602,689
"42045406801",1536,1102,434
"42045406802",1659,1424,235
"42045406804",1942,1250,692
"42045406805",1588,952,636
"42045406902",2169,2055,114
"42045406903",2017,1746,271
"42045406904",1807,1497,310
"42045407000",1336,932,404
"42045407101",1568,1190,378
"42045407102",1254,1215,39
"42045407201",1929,1122,807
"42045407202",1296,922,374
"42045407401",1471,1180,291
"42045407404",1166,1134,32
"42045407501",1144,757,387
"42045407502",1795,412,1383
"42045407600",2151,1671,480
"42045407700",1271,725,546
"42045407801",1668,1622,46
"42045407802",2212,2057,155
"42045407803",1870,1748,122
"42045407804",1630,1584,46
"42045407805",641,529,112
"42045407806",587,507,80
"42045407901",1334,1271,63
"42045407902",1384,879,505
"42045407903",1440,851,589
"42045408001",1855,1808,47
"42045408002",1849,1573,276
"42045408101",1892,1685,207
"42045408102",1205,947,258
"42045408103",1511,1017,494
"42045408300",1343,1028,315
"42045408400",1060,661,399
"42045408500",1622,1452,170
"42045408600",1237,1072,165
"42045408700",1742,1515,227
"42045408800",1988,1701,287
"42045408900",1055,1010,45
"42045409000",1376,1210,166
"42045409100",1488,1337,151
"42045409200",1440,1383,57
"42045409300",924,818,106
"42045409400",988,914,74
"42045409500",1719,1618,101
"42045409601",1852,1044,808
"42045409602",1598,539,1059
"42045409701",1762,1665,97
"42045409803",2765,1590,1175
"42045409804",1773,1110,663
"42045409902",2485,1808,677
"42045409903",1665,1337,328
"42045409904",1827,1453,374
"42045410000",1699,1272,427
"42045410101",1347,1231,116
"42045410102",881,881,0
"42045410200",1373,1173,200
"42045410303",1892,1729,163
"42045410304",1471,1115,356
"42045410305",2784,1390,1394
"42045410306",536,528,8
"42045410401",747,747,0
"42045410402",1258,1225,33
"42045410403",1070,995,75
"42045410500",1611,850,761
"42045410601",1369,1081,288
"42045410602",1590,1359,231
"42045410700",1662,475,1187
"42045410800",3079,2772,307
"42045980100",162,162,0
"42045980300",31,0,31
"42091200103",1384,1320,64
"42091200104",1342,1281,61
"42091200105",1054,947,107
"42091200106",939,502,437
"42091200200",353,260,93
"42091200301",2858,1125,1733
"42091200305",912,777,135
"42091200306",1523,1010,513
"42091200307",1111,587,524
"42091200308",1894,1055,839
"42091200309",890,800,90
"42091200310",1197,953,244
"42091200401",1486,860,626
"42091200402",1602,879,723
"42091200501",1237,1208,29
"42091200502",2245,812,1433
"42091200505",2140,1541,599
"42091200506",1518,1345,173
"42091200507",2150,1847,303
"42091200602",3273,2809,464
"42091200603",1353,1237,116
"42091200605",2305,2220,85
"42091200606",1213,1004,209
"42091200607",1623,1556,67
"42091200703",1662,1248,414
"42091200704",1230,822,408
"42091200707",1860,801,1059
"42091200708",2140,1634,506
"42091200800",1407,629,778
"42091200901",1646,1035,611
"42091200902",543,277,266
"42091200903",1902,906,996
"42091200906",869,476,393
"42091200907",994,716,278
"42091200908",1180,638,542
"42091201003",2110,1521,589
"42091201004",2501,1563,938
"42091201005",1388,1341,47
"42091201006",958,925,33
"42091201100",1464,1069,395
"42091201201",2338,1802,536
"42091201203",1379,996,383
"42091201204",989,870,119
"42091201301",1392,705,687
"42091201302",1263,648,615
"42091201404",1989,1450,539
"42091201406",1763,1498,265
"42091201407",868,822,46
"42091201408",1661,1487,174
"42091201409",1395,1365,30
"42091201410",977,766,211
"42091201411",1025,813,212
"42091201501",1732,784,948
"42091201502",692,684,8
"42091201603",1705,1571,134
"42091201604",1292,1035,257
"42091201605",1149,1091,58
"42091201606",793,539,254
"42091201607",1228,1076,152
"42091201608",1906,1467,439
"42091201703",1092,992,100
"42091201704",1181,1086,95
"42091201705",1734,1351,383
"42091201706",2006,1577,429
"42091201800",1479,762,717
"42091201901",1854,1686,168
"42091201902",2283,1598,685
"42091202000",1076,750,326
"42091202100",1988,1320,668
"42091202201",1688,1282,406
"42091202202",932,905,27
"42091202301",1900,1410,490
"42091202302",1037,758,279
"42091202401",1878,0,1878
"42091202402",1772,1479,293
"42091202500",2394,1204,1190
